MotherF******,Fuc***ing,F*** and Fucked,Sh***t,Bi***,Damn,Ass,Hell,Dick,Pu***,Bastard
"Answer the question	 motherfucker.",Fucking son of a bitch!,I forgive you. Hold the fuck on!,"""Chicken Shit. """,Fucking son of a bitch!,"Mm	 he's damn good.","But	 my ass!","Hello	 sir.","Kim	 dick department.",,Bastard.
Cocksucking motherfucker!,a fucking bitch,"Oh	 fuck. I...",a shit about Italian Vogue.,I'm sorry I called you a black bitch!,and make damn sure they come.,Her ass ain't your ass.,"Hello	 what's your name?",Little dick.,,Let's kill this bastard.
"Forget about the cows	 motherfucker!",all fucking night.,"and if you fuck Cecil	","All right	 cut the shit.","You'll ask ""pretty please	"""""" bitch""	",But I got me a goddamn bartender,"Abernathy	 get your ass up here.","Oh	 hell	 no!","Mm-mmm	 no dick this trip.",,Redneck lunatic bastard!
"Fuck you	 motherfucker!","depending on their fucking ass	",But he fucked another woman,and I'm getting too fuckin' old for that shit.,Bitch,Damn it!,adoring my ass.,And who the hell,,,we can dream of getting that bastard on
"Fuck you	 motherfucker!",all the fucking time,Fuck both of you,and you can't see shit.,a bitch need a gun.,Damn skippy you meant it!,"and checking the classifieds	",Fuckin' hell! How does that happen?,,,you redneck lunatic bastard?
Get that motherfucker!,and have them do it fuckin' right.,"fuck me swinging	 balls out.",Angelina Jolie bullshit.,a fucking bitch,"Damn	 I didn't stop",and he'd get his ass down here,"Hell	 no.",,,You've been such a lunatic bastard!
Mother... fucker!,"and if I fell in that fucking thing	",Fuck that shit.,Bullshit on that.,"a skinny	 fake	 blonde bitch.","Damn	 that sounds sexy!",And his passenger,"Hell	 yeah. The next job",,,
"motherfucker	 don't run.",and I'm getting too fuckin' old for that shit.,Fuck that! I wanna do my laundry,"But I also watched car shit	 too...",acting like a grumpy bitch,goddamn amount of time and energy,Another big-ass,"Hello	 is your name Abernathy?",,,
"Motherfucker	 kiss my fucking ass.",and she asked him for the fucking ride.,Fuck that. Get Abernathy's belt.,"carry the gun	 and when shit goes down	","Bitch	 you might be actin'",goddamn reckless endangerment.,Asshole!,"Hello	 Jasper	 I'm Abernathy.",,,
Motherfucker!,"Bam! I'm in the fucking ditch	 you know.",Fuck that. No.,'cause we gonna do some stupid shit.,"Bitch	 you two are still","he got banged up	 but goddamn...",Big Wednesday. all the classics.,I think I'd have a hell,,,
Motherfucker!,Dude fucking cut himself,Fuck you!,Come on. Bring that shit.,"Boo-yah	 bitch!",I can make goddamn sure,"Bonnet	 my ass.","It's dark as hell	",,,
Motherfuckers.,Even fucking Leroy Brown,Half the guys she still fucks,"file you under ""Chicken Shit	""""""""","Check it out	 bitch.","in the goddamn rain	 no less	","depending on their fucking ass	","Oh	 hell yeah!",,,
motherfucking cocksucker?,for fuckin' Krugerrands.,He fucked her on my birthday.,Fuck that shit.,"Check it out	 bitch.",it's just so damn small.,didn't have a passenger seat.,there ain't no way in hell,,,
"Move	 motherfucker	 move!",Fuckin' fuck you!,How in the fuck,is gonna think you a chicken shit.,Dog that rotten son of a bitch...,look like a goddamn giant,Don't play dumbass with me.,"Well	 hell yeah	",,,
of motherfuckin' white men,Fuckin' hell! How does that happen?,I am not gonna fuck him.,my slave or some shit?,"Faster	 you black bitch! Faster!",my goddamn mind.,He's right on your fucking ass!,Where the hell are my keys?,,,
"Oh	 I'm the horniest motherfucker","Fuckin' legendary	 mate.",I had fuckability stock.,Nothing! Shit.,fucking bitches' throats.,Not a goddamn thing.,I like her ass that way.,Where the hell is Lanna-Frank?,,,
"Oh	 there the motherfucker is.",fucking bitches' throats.,"if I fucked him	 I wouldn't be.","Oh	 shit!","Get ready to fly	 bitch.","Oh	 shit! Goddamn it!",I might get my ass raped.,Hell Yeah.,,,
that motherfucker a hand job,"fucking hysterically funny	","is because girls will fuck him	","Oh	 shit! Goddamn it!",I will blow the doors off that bitch.,"Well	 damn	 if you ain't so sweet",I shot him and his punk ass sped off.,Hello.,,,
"Thought you lost us	 motherfucker.",fucking legs!,"Julia	 what the fuck","Oh	 shit.",in this bitch...,what I think is so goddamn ghoulish,I'd like to have a word with my associate.,,,,
to motherfuckers carry knives?,Get me a fuckin' smoke.,"Look	 double fucks.","Oh	 shit.","Oh	 fuck yeah	 bitch.","Yeah	 I did damn near",I'm thinking we told your ass,,,,
"Uh	 motherfucker trying to rape me	","he'd fucking call me	",No fuckin' clue.,"Oh	 shit.","Oh	 you fuckin' bitch!",Zo! Goddamn it!,in that big-ass mansion of his.,,,,
"We back	 motherfucker. We back.",he'd give me a fucking phone call.,"Oh	 fuck me!","Oh	 shit. Speaking of which...","skinny bitch	",,It is about the pain in the ass of scoring.,,,,
"You better run	 motherfucker!",He's right on your fucking ass!,"Oh	 fuck yeah	 bitch.","Oh	 you want some shit?",Son of a bitch.,,"I've let him give me a foot massage	",,,,
,I can't believe fuckin' Circle A,"Okay	 what the fuck","Shit	 I'm scared	 Kim.",That bitch!,,"Mate	 it's a fucking classic!",,,,
,I don't want it super fucking obvious,Ow! Fuck!,"Shit	 oh shit!","that's what I'm talking about	 bitch!",,Might have kicked my ass,,,,
,"If I fell in that fuckin' thing	 they would",Shit! Fuck!,Shit! Fuck!,the bitch that ends up living,,"Motherfucker	 kiss my fucking ass.",,,,
,"If I fell in that fucking thing	",Shut the fuck up.,Shit! Hold on!,"Then suck on this for a while	 bitch!",,"Oh	 come on	 my ass!",,,,
,I'll fucking rip your fucking...,that fucker everywhere and...,Shit.,to get you bitches groceries.,,"Oh	 don't like it up the ass	 do you	",,,,
,in the fucking ditch!,"that puts them past the point of ""fuck it. """,Shit.,up in this bitch right now!,,"Oh	 you 're gonna wiggle your ass at me	",,,,
,inside the fucking bar right now.,There's few human beings that can fuck,that Pretty in Pink shit.,"Who's laughing now	 bitch!",,"Okay	 get your ass in the back.",,,,
,It is not my fucking job to supply y'all,to shut the fuck up.,That's bullshit.,"You made me trip	 dumb bitch!",,"or B	 depending on their ass.",,,,
,It's about fucking time.,"trying to get their fuck on with my daughter. """,thinking you 're a chicken shit.,,,really have a black girl's ass.,,,,
,It's wet as fucking 'Nam out there.,we're a little fucked up.,This is my cute shit.,,,Run away with your ass!,,,,
,Just fucking let me out of here!,What the fuck are you guys doing?,This shit is off the fuckin' hook!,,,She got a black girl's ass.,,,,
,"Mate	 it's a fucking classic!",What the fuck are you two?,"We take you along	 you don't say shit.",,,She's got a big ass.,,,,
,No fuckin' clue.,What the fuck do you care?,Why are you being such a shit?,,,she's got a big ass?,,,,
,No more fucking around.,What the fuck do you think...,You need to get over that shit.,,,"Sweet ass. Well	 if you'll excuse me	",,,,
,"not fuckin' around on Tobacco Road	",What the fuck is going on?,you shitty asshole!,,,That fast enough for your bony ass?,,,,
,of motherfuckin' white men,What the fuck is it?!,you talked yourself into some stupid shit,,,"their glass to toast	",,,,
,Were you two fucking?,What the fuck was that?,I got shit on My mind.,,,to physically restrain your ass if necessary.,,,,
,"Wow	 that's fucking scary.",What the fuck?!,What the fuck? Shit.,,,"twisted metal	 busted glass	",,,,
,You fuckin' idiot!,whenever the fuck I want to.,,,,What I do is work my ass off to get,,,,
,you 're fucking going?,Where the fuck you going?,,,,"What's wrong with your ass	",,,,
,"you 're not fucking him	",Who the fuck are they?,,,,Why is your passenger seat in a box?,,,,
,"you threw a ""fucking"" in there","who you could fuck""",,,,without tapping that ass.,,,,
,You two got some fuckin' balls.,who you could fuck.,,,,You best get your ass,,,,
,You want it fucking faster?,why did he fuck Darryl Hannah's stand-in?,,,,You bet your ass he is...,,,,
,"Zo	 the fucking cat!",Why the fuck you want a local redneck,,,,"You crack my back	 give me foot massages	",,,,
,,"Yeah	 fuck Nate.",,,,you shitty asshole!,,,,
,,"Yeah	 he's a stand-in fucker.",,,,you want your ass kicked.,,,,
,,"You scared the fuck out of me	",,,,Your ass just mad.,,,,
,,"Zo	 the fucking cat!",,,,Your ass gonna do it.,,,,
,,What the fuck? Shit.,,,,,,,,
