Mother fucker,Fucking,Fuck,Shit,Bitch,Ass,Damn
motherfuckers.,"fucking film festival	","Oh	 fuck.",that-that's one shit-fuck,"- and	 man	 she's a fucking bitch.","Oh	 you bet your sweet ass",Ah. G-goddamn it to hell.
"I mean it	 motherfucker.",That's a big fucking lie.,that-that's one shit-fuck,I was shit-scared,It's a bitchen yellow,whipping Jake Cahill's ass.,"He told me the goddamn truth	"
- I think you're gonna be a wonderful mother.,Mike fucking Lewis!,what the fuck is.,"Oh	 shit	 that's...","Oh	 that fucking bitch!",kicking your ass.,Italian goddamn movies!
motherfucker.,- That's the fucking problem!,Fucking bullshit! It doesn't,who's gonna kick the shit,Son of a bitch!,the horse's ass,Holy shit. Goddamn it.
motherfucker!,Fucking bullshit! It doesn't,"who the fuck I am anyway	 huh?","- Oh	 shit.",,"on my ass	",H-he's a goddamn
,"fucking Baby	 that's who.",- Fuck!,Fucking bullshit! It doesn't,,his creepy ass around.,I came damn close
,You're a fucking,"fucking Baby	 that's who.","Come on	 now. Shit.",,kickboxing asshole.,Maybe... Goddamn it!
,Fuck! Eight fucking,"Oh	 come get them	 fucker.",Holy shit. Heh.,,of Cassius Clay's trunks.,"You're a goddamn outlaw	"
,I couldn't stop at fucking,"gonna fuck things up	",Holy shit. Goddamn it.,,"Hey	 jackass	","Fucking damn it	 Rick	"
,a fucking alcoholic.,"Argh. Fuck you	","I mean	 shit. I mean	",,"is that your loser asshole	",those goddamn people!
,You fucking drink,war hero. Fuck.,I will throw this shit,,shaggy asshole?,eight goddamn fucking
,Every fucking night.,What the fuck,"that old shit	 do you?",,You embarrassed me.,like I goddamn practiced them!
,Every fucking night.,What the fuck,the shittiest weather ever.,,and get his ass down here.,Damn it!
,that's fucking it!,"What the fuck	 man?",The shittiest weather,,Don't pass me by ass,that goddamn Jim Stacy.
,That's fucking it.,What the fuck,on the shittiest boat,,"Yeah	 asshole	",on that goddamn fucking set
,fucking drinking.,What the fuck,with the shittiest person.,,mechanical asshole,all over your goddamn pool.
,little fucking girl.,"get your shit	 and get fucked!",fucking shithole of a boat.,,I can't believe that asshole,Goddamn it.
,on that goddamn fucking set,I fucked this,"""lethal weapon"" horseshit",,They were hippie assholes.,- You're goddamn right.
,your fucking brains out tonight.,What the fuck was that?!,beating the shit out of Bruce.,,I burnt her ass to a crisp.,of the goddamn directors.
,"Fuck you	 you fucking pig!",Fuck!,the shit out of Bruce.,,,Goddamn.
,Rick fucking Dalton.,"Oh	 fuck it.","get your shit	 and get fucked!",,,Damn property taxes
,fix your fucking muffler.,who the fuck,"get your shit	",,,Goddamn.
,off my fucking street!,"Fuck you	 you fucking pig!",Piece of shit.,,,Bunch of goddamn
,Move this fucking piece of shit!,I'm not too young to fuck you.,Fucking bullshit.,,,that's for goddamn sure.
,I'm gonna call the fucking cops!,you are too old to fuck me.,Get your shit together.,,,
,Everybody's fucking awake!,I fucked his brains out,Shit.,,,
,"Oh	 that fucking bitch!",What the fuck,Can't see shit.,,,
,five fucking sleeping pills.,Just who the fuck are you?,"The man can't see shit	",,,
,"Oh	 th-these fucking",Fuck you.,"Shit	 I almost lost my shit.",,,
,I couldn't stop at fucking,What the fuck?,Puerco Canyon or some shit.,,,
,You fucking drink,you little ginger-haired fucker?,bringing that noisy hunk of shit,,,
,Every fucking night.,"Fuck you	 Katie.","Ah	 horseshit.",,,
,Every fucking night.,"where the fuck are we	 man?",Move this fucking piece of shit!,,,
,that's fucking it!,I say fuck them.,in pig-shit fucking luxury.,,,
,That's fucking it.,What the fuck?,"Wait a minute. Oh	 shit.",,,
,fucking drinking.,Who the fuck's that?,Shit.,,,
,on that goddamn fucking set,Fuck!,"do some devil shit.""",,,
,your fucking brains out tonight.,What the fuck?,"- OFFICER 2: ""Some devil shit""?",,,
,"Fuck you	 you fucking pig!",What the fuck happened?,"- CLIFF: Yeah	"" """"devil shit.""""""",,,
,Rick fucking Dalton.,We don't know what the fuck,No shit.,,,
,I was fucking blind!,,"Well	 shit.",,,
,That guy's a fucking prick.,,fucking shit.,,,
,"got a fucking shotgun	",,,,,
,Fucking private road.,,,,,
,fucking hippies.,,,,,
,You fucking hippies,,,,,
,fix your fucking muffler.,,,,,
,off my fucking street!,,,,,
,Move this fucking piece of shit!,,,,,
,"but fucking drive it	",,,,,
,I'm gonna call the fucking cops!,,,,,
,Dirty fucking hippies.,,,,,
,"fancy fucking house	",,,,,
,listening to fucking records.,,,,,
,Everybody's fucking awake!,,,,,
,"We are in fucking Hollywood	",,,,,
,in pig-shit fucking luxury.,,,,,
,"Oh	 that fucking bitch!",,,,,
,five fucking sleeping pills.,,,,,
,"- Yeah	 I'm fucking serious.",,,,,
,"Well	 the fucking hippies",,,,,
,fucking shit.,,,,,
